epoch,QRKM,QADMM,QRAF,QARAF,QWF,QRWF,QPAF
146,-27.77529049604291,-8.857077127811438,-5.2993356893508805,-6.8412988855595245,-2.083830494559701,-4.159706268690488,-4.612386135136093
147,-27.970316118056573,-8.907156995496843,-5.325265237477585,-6.878902967173985,-2.094930509070105,-4.181555027765857,-4.634729375544686
148,-28.143268825535863,-8.957190451653029,-5.351164715754756,-6.916458146579533,-2.105996438388054,-4.203370365563636,-4.65703877660104
149,-28.324488647293517,-9.007178114967077,-5.377034576478967,-6.953965004492734,-2.11702875943331,-4.225152714803845,-4.679314922672404
150,-28.4864104695917,-9.057120593312169,-5.402875260453037,-6.991424114813945,-2.1280279385763223,-4.246902498000026,-4.701558383656856
151,-28.66720766532095,-9.107018484043968,-5.428687197337607,-7.028836044890262,-2.138994431599033,-4.268620127884034,-4.723769715412109
152,-28.824087926583648,-9.156872374283662,-5.454470805991014,-7.066201355755927,-2.149928683697375,-4.290306007805141,-4.745949460168506
153,-29.021471478149653,-9.206682841197525,-5.480226494797928,-7.103520602351802,-2.1608311295213287,-4.311960532105161,-4.768098146926877
154,-29.185300477189838,-9.256450452261952,-5.505954661987198,-7.1407943337254,-2.1717021932486302,-4.333584086471264,-4.7902162918420395
155,-29.35604250994604,-9.306175765526437,-5.531655695939331,-7.178023093213037,-2.1825422886884827,-4.3551770482679775,-4.812304398592615
156,-29.549071391884286,-9.355859329863266,-5.557329975483959,-7.215207418605291,-2.193351819411839,-4.376739786849815,-4.834362958737769
157,-29.716519871371794,-9.405501685207067,-5.582977870187713,-7.252347842297437,-2.2041311789050693,-4.398272663855838,-4.856392452061523
158,-29.885676837007566,-9.455103362794299,-5.608599740632827,-7.289444891425586,-2.2148807507440242,-4.41977603348741,-4.87839334690518
159,-30.05673226867391,-9.504664885386822,-5.634195938686824,-7.326499087990062,-2.2256009087857485,-4.441250242770263,-4.900366100488395
160,-30.230666743336936,-9.554186767493935,-5.659766807763601,-7.36351094896657,-2.2362920173752716,-4.462695631801976,-4.922311159219446
161,-30.411521776801717,-9.603669515584444,-5.685312683076212,-7.400480986406756,-2.2469544315651255,-4.484112533985846,-4.944228958995115
162,-30.59958147327546,-9.653113628289603,-5.7108338918816735,-7.437409707528484,-2.2575884973454077,-4.505501276252077,-4.966119925490678
163,-30.755445570887566,-9.702519596605818,-5.736330753718003,-7.474297614797031,-2.268194551882396,-4.526862179267174,-4.987984474440429
164,-30.925325628252555,-9.751887904083691,-5.761803580633862,-7.511145205997788,-2.2787729237638876,-4.548195557632308,-5.009823011909124
165,-31.08710375410434,-9.801219027013898,-5.787252677410929,-7.547952974301323,-2.2893239332495945,-4.5695017200714325,-5.031635934554721
166,-31.27657456959852,-9.850513434607361,-5.812678341779374,-7.584721408321525,-2.299847892525077,-4.590780969609827,-5.053423629882807
167,-31.455538951210958,-9.899771589170168,-5.838080864626594,-7.621450992167176,-2.310345105957842,-4.612033603743713,-5.075186476493034
168,-31.62432895059734,-9.948993946265473,-5.863460530199428,-7.658142205488017,-2.320815870354363,-4.63325991460156,-5.096924844317877
169,-31.793837678834482,-9.998180954880176,-5.888817616300125,-7.6947955235152765,-2.331260475216906,-4.654460189097592,-5.1186390948540375
170,-31.957469062174646,-10.047333057578665,-5.914152394476214,-7.73141141709795,-2.3416792029991638,-4.6756347090780865,-5.140329581386768
171,-32.13943471329507,-10.096450690662028,-5.939465130204502,-7.767990352734075,-2.3520723293597965,-4.696783751460857,-5.161996649207418
